project_id,model,model_category,prompt_setting,shot_count,scope,n_generated,n_valid_refactorings,n_pass,n_fail,valid_refactoring_rate_pct,pass_at_1_pct
P09,Claude Sonnet,closed-source frontier model,5-shot,5,class-level,500,473,372,101,94.6,78.6
P09,GPT-4o,closed-source frontier model,0-shot,0,method-level,500,476,414,62,95.2,87.0
P09,GPT-4o,closed-source frontier model,0-shot,0,class-level,500,472,407,65,94.4,86.2
P09,GPT-4o,closed-source frontier model,1-shot,1,method-level,500,477,416,61,95.4,87.2
P09,GPT-4o,closed-source frontier model,1-shot,1,class-level,500,471,407,64,94.2,86.4
P09,GPT-4o,closed-source frontier model,3-shot,3,method-level,500,489,436,53,97.8,89.2
P09,GPT-4o,closed-source frontier model,3-shot,3,class-level,500,471,401,70,94.2,85.1
P09,GPT-4o,closed-source frontier model,5-shot,5,method-level,500,486,425,61,97.2,87.4
P09,GPT-4o,closed-source frontier model,5-shot,5,class-level,500,474,392,82,94.8,82.7
P10,StarCoder2,open-source code model,0-shot,0,method-level,500,473,350,123,94.6,74.0
P10,StarCoder2,open-source code model,0-shot,0,class-level,500,468,351,117,93.6,75.0
P10,StarCoder2,open-source code model,1-shot,1,method-level,500,453,313,140,90.6,69.1
P10,StarCoder2,open-source code model,1-shot,1,class-level,500,465,329,136,93.0,70.8
P10,StarCoder2,open-source code model,3-shot,3,method-level,500,463,347,116,92.6,74.9
P10,StarCoder2,open-source code model,3-shot,3,class-level,500,468,333,135,93.6,71.2
P10,StarCoder2,open-source code model,5-shot,5,method-level,500,471,341,130,94.2,72.4
P10,StarCoder2,open-source code model,5-shot,5,class-level,500,455,331,124,91.0,72.7
P10,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,0-shot,0,method-level,500,468,380,88,93.6,81.2
P10,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,0-shot,0,class-level,500,468,380,88,93.6,81.2
P10,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,1-shot,1,method-level,500,474,386,88,94.8,81.4
P10,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,1-shot,1,class-level,500,473,369,104,94.6,78.0
P10,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,3-shot,3,method-level,500,478,385,93,95.6,80.5
P10,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,3-shot,3,class-level,500,471,377,94,94.2,80.0
P10,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,5-shot,5,method-level,500,467,363,104,93.4,77.7
P10,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,5-shot,5,class-level,500,473,357,116,94.6,75.5
P10,Claude Sonnet,closed-source frontier model,0-shot,0,method-level,500,475,413,62,95.0,86.9
P10,Claude Sonnet,closed-source frontier model,0-shot,0,class-level,500,474,390,84,94.8,82.3
P10,Claude Sonnet,closed-source frontier model,1-shot,1,method-level,500,473,389,84,94.6,82.2
P10,Claude Sonnet,closed-source frontier model,1-shot,1,class-level,500,468,381,87,93.6,81.4
P10,Claude Sonnet,closed-source frontier model,3-shot,3,method-level,500,474,393,81,94.8,82.9
P10,Claude Sonnet,closed-source frontier model,3-shot,3,class-level,500,480,405,75,96.0,84.4
P10,Claude Sonnet,closed-source frontier model,5-shot,5,method-level,500,473,412,61,94.6,87.1
P10,Claude Sonnet,closed-source frontier model,5-shot,5,class-level,500,478,381,97,95.6,79.7
P10,GPT-4o,closed-source frontier model,0-shot,0,method-level,500,468,408,60,93.6,87.2
P10,GPT-4o,closed-source frontier model,0-shot,0,class-level,500,477,417,60,95.4,87.4
P10,GPT-4o,closed-source frontier model,1-shot,1,method-level,500,484,414,70,96.8,85.5
P10,GPT-4o,closed-source frontier model,1-shot,1,class-level,500,484,430,54,96.8,88.8
P10,GPT-4o,closed-source frontier model,3-shot,3,method-level,500,492,428,64,98.4,87.0
P10,GPT-4o,closed-source frontier model,3-shot,3,class-level,500,464,419,45,92.8,90.3
P10,GPT-4o,closed-source frontier model,5-shot,5,method-level,500,472,427,45,94.4,90.5
P10,GPT-4o,closed-source frontier model,5-shot,5,class-level,500,480,409,71,96.0,85.2
